PING 10.79.140.204 (10.79.140.204) 56(84) bytes of data.
64 bytes from 10.79.140.204: icmp_seq=322 ttl=64 time=107 ms
64 bytes from 10.79.140.204: icmp_seq=323 ttl=64 time=28.3 ms
64 bytes from 10.79.140.204: icmp_seq=324 ttl=64 time=49.9 ms
64 bytes from 10.79.140.204: icmp_seq=325 ttl=64 time=73.4 ms
64 bytes from 10.79.140.204: icmp_seq=326 ttl=64 time=95.8 ms
64 bytes from 10.79.140.204: icmp_seq=327 ttl=64 time=52.4 ms
64 bytes from 10.79.140.204: icmp_seq=328 ttl=64 time=190 ms
64 bytes from 10.79.140.204: icmp_seq=329 ttl=64 time=107 ms
64 bytes from 10.79.140.204: icmp_seq=330 ttl=64 time=19.8 ms
64 bytes from 10.79.140.204: icmp_seq=331 ttl=64 time=158 ms
64 bytes from 10.79.140.204: icmp_seq=332 ttl=64 time=3.66 ms
64 bytes from 10.79.140.204: icmp_seq=333 ttl=64 time=49.7 ms
64 bytes from 10.79.140.204: icmp_seq=334 ttl=64 time=13.8 ms
64 bytes from 10.79.140.204: icmp_seq=335 ttl=64 time=93.6 ms
64 bytes from 10.79.140.204: icmp_seq=336 ttl=64 time=6.63 ms
64 bytes from 10.79.140.204: icmp_seq=337 ttl=64 time=35.8 ms
64 bytes from 10.79.140.204: icmp_seq=338 ttl=64 time=57.3 ms
64 bytes from 10.79.140.204: icmp_seq=339 ttl=64 time=80.9 ms
64 bytes from 10.79.140.204: icmp_seq=340 ttl=64 time=103 ms
64 bytes from 10.79.140.204: icmp_seq=341 ttl=64 time=25.2 ms
64 bytes from 10.79.140.204: icmp_seq=342 ttl=64 time=48.0 ms
64 bytes from 10.79.140.204: icmp_seq=343 ttl=64 time=69.7 ms
64 bytes from 10.79.140.204: icmp_seq=344 ttl=64 time=91.9 ms
64 bytes from 10.79.140.204: icmp_seq=345 ttl=64 time=16.3 ms
64 bytes from 10.79.140.204: icmp_seq=346 ttl=64 time=35.2 ms
64 bytes from 10.79.140.204: icmp_seq=347 ttl=64 time=58.7 ms
